rxn_cpd	concerns@reaction	consumes@compound	produces@compound	stoichiometry	compartment
BETA-DIKETONE-HYDROLASE-RXN_WATER__1_c	BETA-DIKETONE-HYDROLASE-RXN	WATER		1	c
BETA-DIKETONE-HYDROLASE-RXN__PROTON_1_c	BETA-DIKETONE-HYDROLASE-RXN		PROTON	1	c
BETA-DIKETONE-HYDROLASE-RXN_NONANE-46-DIONE__1_c	BETA-DIKETONE-HYDROLASE-RXN	NONANE-46-DIONE		1	c
BETA-DIKETONE-HYDROLASE-RXN__BUTYRIC_ACID_1_c	BETA-DIKETONE-HYDROLASE-RXN		BUTYRIC_ACID	1	c
RXN-12303__Plastoquinols_1_c	RXN-12303		Plastoquinols	1	c
RXN-12303_NADH-P-OR-NOP__1_c	RXN-12303	NADH-P-OR-NOP		1	c
RXN-12303_PROTON__1_c	RXN-12303	PROTON		1	c
RXN-12303_PLASTOQUINONE__1_c	RXN-12303	PLASTOQUINONE		1	c
RXN-12303__NAD-P-OR-NOP_1_c	RXN-12303		NAD-P-OR-NOP	1	c
RXN-12484__ACETALD_1_c	RXN-12484		ACETALD	1	c
RXN-12484__NADPH_1_c	RXN-12484		NADPH	1	c
RXN-12484__PROTON_1_c	RXN-12484		PROTON	1	c
RXN-12484_ETOH__1_c	RXN-12484	ETOH		1	c
RXN-12484_NADP__1_c	RXN-12484	NADP		1	c
ADENODEAMIN-RXN_PROTON__1_c	ADENODEAMIN-RXN	PROTON		1	c
ADENODEAMIN-RXN_ADENOSINE__1_c	ADENODEAMIN-RXN	ADENOSINE		1	c
ADENODEAMIN-RXN__AMMONIUM_1_c	ADENODEAMIN-RXN		AMMONIUM	1	c
ADENODEAMIN-RXN_WATER__1_c	ADENODEAMIN-RXN	WATER		1	c
ADENODEAMIN-RXN__INOSINE_1_c	ADENODEAMIN-RXN		INOSINE	1	c
RXN-12969__CPD-14406_1_c	RXN-12969		CPD-14406	1	c
RXN-12969__WATER_1_c	RXN-12969		WATER	1	c
RXN-12969_CPD-14405__1_c	RXN-12969	CPD-14405		1	c
RXN-12504__PROTON_1_c	RXN-12504		PROTON	1	c
RXN-12504_GTP__1_c	RXN-12504	GTP		1	c
RXN-12504__pppGp-his-tRNAs_1_c	RXN-12504		pppGp-his-tRNAs	1	c
RXN-12504_App-his-tRNAs__1_c	RXN-12504	App-his-tRNAs		1	c
RXN-12504__AMP_1_c	RXN-12504		AMP	1	c
RXN-12263__CPD-465_1_c	RXN-12263		CPD-465	1	c
RXN-12263_FARNESYL-PP__2_c	RXN-12263	FARNESYL-PP		2	c
RXN-12263__PPI_1_c	RXN-12263		PPI	1	c
DCYSDESULF-RXN_WATER__1_c	DCYSDESULF-RXN	WATER		1	c
DCYSDESULF-RXN__PYRUVATE_1_c	DCYSDESULF-RXN		PYRUVATE	1	c
DCYSDESULF-RXN__HS_1_c	DCYSDESULF-RXN		HS	1	c
DCYSDESULF-RXN__AMMONIUM_1_c	DCYSDESULF-RXN		AMMONIUM	1	c
DCYSDESULF-RXN_D-CYSTEINE__1_c	DCYSDESULF-RXN	D-CYSTEINE		1	c
RXN66-22__NAD-P-OR-NOP_1_c	RXN66-22		NAD-P-OR-NOP	1	c
RXN66-22__CPD-8619_1_c	RXN66-22		CPD-8619	1	c
RXN66-22_CPD-8618__1_c	RXN66-22	CPD-8618		1	c
RXN66-22__WATER_1_c	RXN66-22		WATER	1	c
RXN66-22_OXYGEN-MOLECULE__1_c	RXN66-22	OXYGEN-MOLECULE		1	c
RXN66-22_NADH-P-OR-NOP__1_c	RXN66-22	NADH-P-OR-NOP		1	c
RXN0-5180_DELTA3-ISOPENTENYL-PP__1_c	RXN0-5180	DELTA3-ISOPENTENYL-PP		1	c
RXN0-5180_FARNESYL-PP__1_c	RXN0-5180	FARNESYL-PP		1	c
RXN0-5180__CPD0-1028_1_c	RXN0-5180		CPD0-1028	1	c
RXN0-5180__PPI_1_c	RXN0-5180		PPI	1	c
RXN3O-102__UBIQUINOL-30_1_c	RXN3O-102		UBIQUINOL-30	1	c
RXN3O-102__PROTON_1_c	RXN3O-102		PROTON	1	c
RXN3O-102_2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX__1_c	RXN3O-102	2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX		1	c
RXN3O-102_S-ADENOSYLMETHIONINE__1_c	RXN3O-102	S-ADENOSYLMETHIONINE		1	c
RXN3O-102__ADENOSYL-HOMO-CYS_1_c	RXN3O-102		ADENOSYL-HOMO-CYS	1	c
RXN-12353_Methylated-DNA-Bases__1_c	RXN-12353	Methylated-DNA-Bases		1	c
RXN-12353_2-KETOGLUTARATE__1_c	RXN-12353	2-KETOGLUTARATE		1	c
RXN-12353__SUC_1_c	RXN-12353		SUC	1	c
RXN-12353_OXYGEN-MOLECULE__1_c	RXN-12353	OXYGEN-MOLECULE		1	c
RXN-12353__Nucleobases-in-DNA_1_c	RXN-12353		Nucleobases-in-DNA	1	c
RXN-12353__CARBON-DIOXIDE_1_c	RXN-12353		CARBON-DIOXIDE	1	c
RXN-12353__FORMALDEHYDE_1_c	RXN-12353		FORMALDEHYDE	1	c
RXN-12558_PROTON__1_c	RXN-12558	PROTON		1	c
RXN-12558_CROTONYL-COA__1_c	RXN-12558	CROTONYL-COA		1	c
RXN-12558_NADH__1_c	RXN-12558	NADH		1	c
RXN-12558__BUTYRYL-COA_1_c	RXN-12558		BUTYRYL-COA	1	c
RXN-12558__NAD_1_c	RXN-12558		NAD	1	c
NITRIC-OXIDE-REDUCTASE-RXN__Cytochromes-C-Oxidized_2_e	NITRIC-OXIDE-REDUCTASE-RXN		Cytochromes-C-Oxidized	2	e
NITRIC-OXIDE-REDUCTASE-RXN__WATER_1_e	NITRIC-OXIDE-REDUCTASE-RXN		WATER	1	e
NITRIC-OXIDE-REDUCTASE-RXN__NITROUS-OXIDE_1_e	NITRIC-OXIDE-REDUCTASE-RXN		NITROUS-OXIDE	1	e
NITRIC-OXIDE-REDUCTASE-RXN_PROTON__2_e	NITRIC-OXIDE-REDUCTASE-RXN	PROTON		2	e
NITRIC-OXIDE-REDUCTASE-RXN_NITRIC-OXIDE__2_e	NITRIC-OXIDE-REDUCTASE-RXN	NITRIC-OXIDE		2	e
NITRIC-OXIDE-REDUCTASE-RXN_Cytochromes-C-Reduced__2_e	NITRIC-OXIDE-REDUCTASE-RXN	Cytochromes-C-Reduced		2	e
RXN-5901__CPD-650_1_c	RXN-5901		CPD-650	1	c
RXN-5901_NADPH__1_c	RXN-5901	NADPH		1	c
RXN-5901__NADP_1_c	RXN-5901		NADP	1	c
RXN-5901_ACETOACETYL-COA__1_c	RXN-5901	ACETOACETYL-COA		1	c
RXN-5901_PROTON__1_c	RXN-5901	PROTON		1	c
GLYCOPHOSPHORYL-RXN_Pi__1_c	GLYCOPHOSPHORYL-RXN	Pi		1	c
GLYCOPHOSPHORYL-RXN_Glycogens__1_c	GLYCOPHOSPHORYL-RXN	Glycogens		1	c
GLYCOPHOSPHORYL-RXN__CPD0-971_1_c	GLYCOPHOSPHORYL-RXN		CPD0-971	1	c
GLYCOPHOSPHORYL-RXN__GLC-1-P_1_c	GLYCOPHOSPHORYL-RXN		GLC-1-P	1	c
RXN0-6478__CPD0-2350_1_c	RXN0-6478		CPD0-2350	1	c
RXN0-6478_WATER__1_c	RXN0-6478	WATER		1	c
RXN0-6478__CPD0-2351_1_c	RXN0-6478		CPD0-2351	1	c
RXN0-6478_CPD0-2350__1_c	RXN0-6478	CPD0-2350		1	c
SULFOCYS-RXN_ACETYLSERINE__1_c	SULFOCYS-RXN	ACETYLSERINE		1	c
SULFOCYS-RXN_S2O3__1_c	SULFOCYS-RXN	S2O3		1	c
SULFOCYS-RXN__SULFO-CYSTEINE_1_c	SULFOCYS-RXN		SULFO-CYSTEINE	1	c
SULFOCYS-RXN__ACET_1_c	SULFOCYS-RXN		ACET	1	c
SULFOCYS-RXN__PROTON_1_c	SULFOCYS-RXN		PROTON	1	c
RXN-7686_2-KETOGLUTARATE__1_c	RXN-7686	2-KETOGLUTARATE		1	c
RXN-7686__PROTON_1_c	RXN-7686		PROTON	1	c
RXN-7686__SUC_1_c	RXN-7686		SUC	1	c
RXN-7686__CARBON-DIOXIDE_1_c	RXN-7686		CARBON-DIOXIDE	1	c
RXN-7686__CPD-431_1_c	RXN-7686		CPD-431	1	c
RXN-7686__WATER_1_c	RXN-7686		WATER	1	c
RXN-7686_NARINGENIN-CMPD__1_c	RXN-7686	NARINGENIN-CMPD		1	c
RXN-7686_OXYGEN-MOLECULE__1_c	RXN-7686	OXYGEN-MOLECULE		1	c
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN__DNA-Adjacent-Pyrimidines_1_c	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN		DNA-Adjacent-Pyrimidines	1	c
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_DNA-With-Pyrimidine-Dimers__1_c	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	DNA-With-Pyrimidine-Dimers		1	c
RXN-12366__CPD-13350_1_c	RXN-12366		CPD-13350	1	c
RXN-12366_LIPID-IV-A__1_c	RXN-12366	LIPID-IV-A		1	c
RXN-12366__CPD-9646_1_c	RXN-12366		CPD-9646	1	c
RXN-12366_CPD0-1189__1_c	RXN-12366	CPD0-1189		1	c
FERREDOXIN--NITRITE-REDUCTASE-RXN__Oxidized-ferredoxins_6_c	FERREDOXIN--NITRITE-REDUCTASE-RXN		Oxidized-ferredoxins	6	c
FERREDOXIN--NITRITE-REDUCTASE-RXN__AMMONIUM_1_c	FERREDOXIN--NITRITE-REDUCTASE-RXN		AMMONIUM	1	c
FERREDOXIN--NITRITE-REDUCTASE-RXN__WATER_2_c	FERREDOXIN--NITRITE-REDUCTASE-RXN		WATER	2	c
FERREDOXIN--NITRITE-REDUCTASE-RXN_Reduced-ferredoxins__6_c	FERREDOXIN--NITRITE-REDUCTASE-RXN	Reduced-ferredoxins		6	c
FERREDOXIN--NITRITE-REDUCTASE-RXN_PROTON__8_c	FERREDOXIN--NITRITE-REDUCTASE-RXN	PROTON		8	c
FERREDOXIN--NITRITE-REDUCTASE-RXN_NITRITE__1_c	FERREDOXIN--NITRITE-REDUCTASE-RXN	NITRITE		1	c
LONG-CHAIN-ALCOHOL-OXIDASE-RXN__Long-Chain-Aldehydes_1_c	LONG-CHAIN-ALCOHOL-OXIDASE-RXN		Long-Chain-Aldehydes	1	c
LONG-CHAIN-ALCOHOL-OXIDASE-RXN__HYDROGEN-PEROXIDE_1_c	LONG-CHAIN-ALCOHOL-OXIDASE-RXN		HYDROGEN-PEROXIDE	1	c
LONG-CHAIN-ALCOHOL-OXIDASE-RXN_Long-chain-alcohols__1_c	LONG-CHAIN-ALCOHOL-OXIDASE-RXN	Long-chain-alcohols		1	c
LONG-CHAIN-ALCOHOL-OXIDASE-RXN_OXYGEN-MOLECULE__1_c	LONG-CHAIN-ALCOHOL-OXIDASE-RXN	OXYGEN-MOLECULE		1	c
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN__PROTON_1_c	AGMATINE-N4-COUMAROYLTRANSFERASE-RXN		PROTON	1	c
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN__N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID_1_c	AGMATINE-N4-COUMAROYLTRANSFERASE-RXN		N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID	1	c
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN_AGMATHINE__1_c	AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	AGMATHINE		1	c
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN_P-COUMAROYL-COA__1_c	AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	P-COUMAROYL-COA		1	c
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN__CO-A_1_c	AGMATINE-N4-COUMAROYLTRANSFERASE-RXN		CO-A	1	c
LINOLEOYL-RXN_WATER__1_c	LINOLEOYL-RXN	WATER		1	c
LINOLEOYL-RXN__PROTON_1_c	LINOLEOYL-RXN		PROTON	1	c
LINOLEOYL-RXN__LINOLEIC_ACID_1_c	LINOLEOYL-RXN		LINOLEIC_ACID	1	c
LINOLEOYL-RXN__CO-A_1_c	LINOLEOYL-RXN		CO-A	1	c
LINOLEOYL-RXN_CPD-18__1_c	LINOLEOYL-RXN	CPD-18		1	c
RXN1G-320_R-3-hydroxyarachidoyl-ACPs__1_c	RXN1G-320	R-3-hydroxyarachidoyl-ACPs		1	c
RXN1G-320__trans-delta2-arachidoyl-ACPs_1_c	RXN1G-320		trans-delta2-arachidoyl-ACPs	1	c
RXN1G-320__WATER_1_c	RXN1G-320		WATER	1	c
RXN-10949_Myo-inositol-monophosphates__1_c	RXN-10949	Myo-inositol-monophosphates		1	c
RXN-10949__MYO-INOSITOL_1_c	RXN-10949		MYO-INOSITOL	1	c
RXN-10949_WATER__1_c	RXN-10949	WATER		1	c
RXN-10949__Pi_1_c	RXN-10949		Pi	1	c
RXN0-1461_PROTON__2_c	RXN0-1461	PROTON		2	c
RXN0-1461_COPROPORPHYRINOGEN_III__1_c	RXN0-1461	COPROPORPHYRINOGEN_III		1	c
RXN0-1461_OXYGEN-MOLECULE__1_c	RXN0-1461	OXYGEN-MOLECULE		1	c
RXN0-1461__CARBON-DIOXIDE_2_c	RXN0-1461		CARBON-DIOXIDE	2	c
RXN0-1461__PROTOPORPHYRINOGEN_1_c	RXN0-1461		PROTOPORPHYRINOGEN	1	c
RXN0-1461__WATER_2_c	RXN0-1461		WATER	2	c
RXN0-5393_WATER__1_c	RXN0-5393	WATER		1	c
RXN0-5393_CPD0-1162__1_c	RXN0-5393	CPD0-1162		1	c
RXN0-5393__CPD0-1163_1_c	RXN0-5393		CPD0-1163	1	c
RXN-9637_PROTON__1_c	RXN-9637	PROTON		1	c
RXN-9637_OXYGEN-MOLECULE__1_c	RXN-9637	OXYGEN-MOLECULE		1	c
RXN-9637_Thalian-diols__1_c	RXN-9637	Thalian-diols		1	c
RXN-9637__NAD-P-OR-NOP_1_c	RXN-9637		NAD-P-OR-NOP	1	c
RXN-9637__WATER_2_c	RXN-9637		WATER	2	c
RXN-9637_NADH-P-OR-NOP__1_c	RXN-9637	NADH-P-OR-NOP		1	c
RXN-9637__Desaturated-Thalian-diols_1_c	RXN-9637		Desaturated-Thalian-diols	1	c
RXN-13327__PROTON_1_c	RXN-13327		PROTON	1	c
RXN-13327__18S-rRNA-N1-methylpseudouridine-1191_1_c	RXN-13327		18S-rRNA-N1-methylpseudouridine-1191	1	c
RXN-13327_S-ADENOSYLMETHIONINE__1_c	RXN-13327	S-ADENOSYLMETHIONINE		1	c
RXN-13327_18S-rRNA-pseudouridine-1191__1_c	RXN-13327	18S-rRNA-pseudouridine-1191		1	c
RXN-13327__ADENOSYL-HOMO-CYS_1_c	RXN-13327		ADENOSYL-HOMO-CYS	1	c
2.1.1.79-RXN__Phospholipid-Cyclopropane-Fatty-Acids_1_c	2.1.1.79-RXN		Phospholipid-Cyclopropane-Fatty-Acids	1	c
2.1.1.79-RXN_Phospholipid-Olefinic-Fatty-Acids__1_c	2.1.1.79-RXN	Phospholipid-Olefinic-Fatty-Acids		1	c
2.1.1.79-RXN_S-ADENOSYLMETHIONINE__1_c	2.1.1.79-RXN	S-ADENOSYLMETHIONINE		1	c
2.1.1.79-RXN__ADENOSYL-HOMO-CYS_1_c	2.1.1.79-RXN		ADENOSYL-HOMO-CYS	1	c
2.1.1.79-RXN__PROTON_1_c	2.1.1.79-RXN		PROTON	1	c
RXN-15816__Cytochromes-C-Reduced_2_e	RXN-15816		Cytochromes-C-Reduced	2	e
RXN-15816_ETR-Quinols__1_c	RXN-15816	ETR-Quinols		1	c
RXN-15816_Cytochromes-C-Oxidized__2_e	RXN-15816	Cytochromes-C-Oxidized		2	e
RXN-15816__ETR-Quinones_1_c	RXN-15816		ETR-Quinones	1	c
RXN-15816__PROTON_2_c	RXN-15816		PROTON	2	c
RXN-9996__PROTON_1_c	RXN-9996		PROTON	1	c
RXN-9996_SER__1_c	RXN-9996	SER		1	c
RXN-9996__CMP_1_c	RXN-9996		CMP	1	c
RXN-9996_CPD-10740__1_c	RXN-9996	CPD-10740		1	c
RXN-9996__CPD-10741_1_c	RXN-9996		CPD-10741	1	c
RXN-3661__NITRITE_1_c	RXN-3661		NITRITE	1	c
RXN-3661_BENZENE-NO2__1_c	RXN-3661	BENZENE-NO2		1	c
RXN-3661__NAD_1_c	RXN-3661		NAD	1	c
RXN-3661_OXYGEN-MOLECULE__1_c	RXN-3661	OXYGEN-MOLECULE		1	c
RXN-3661_NADH__1_c	RXN-3661	NADH		1	c
RXN-3661__CATECHOL_1_c	RXN-3661		CATECHOL	1	c
RXN-12126_CPD-12575__1_c	RXN-12126	CPD-12575		1	c
RXN-12126__CPD-11606_1_c	RXN-12126		CPD-11606	1	c
RXN-12126__PROTON_1_c	RXN-12126		PROTON	1	c
RXN-12126_CPD-4162__1_c	RXN-12126	CPD-4162		1	c
RXN-12126__UDP_1_c	RXN-12126		UDP	1	c
NUCLEOSIDE-DIPHOSPHATASE-RXN_WATER__1_c	NUCLEOSIDE-DIPHOSPHATASE-RXN	WATER		1	c
NUCLEOSIDE-DIPHOSPHATASE-RXN__Nucleoside-Monophosphates_1_c	NUCLEOSIDE-DIPHOSPHATASE-RXN		Nucleoside-Monophosphates	1	c
NUCLEOSIDE-DIPHOSPHATASE-RXN__Pi_1_c	NUCLEOSIDE-DIPHOSPHATASE-RXN		Pi	1	c
NUCLEOSIDE-DIPHOSPHATASE-RXN_Nucleoside-Diphosphates__1_c	NUCLEOSIDE-DIPHOSPHATASE-RXN	Nucleoside-Diphosphates		1	c
NUCLEOSIDE-DIPHOSPHATASE-RXN__PROTON_1_c	NUCLEOSIDE-DIPHOSPHATASE-RXN		PROTON	1	c
RXN-2464__PYRUVATE_1_c	RXN-2464		PYRUVATE	1	c
RXN-2464_4-OH-4-ACETYL-2-OXOGLUTARATE__1_c	RXN-2464	4-OH-4-ACETYL-2-OXOGLUTARATE		1	c
RXN-2464__OXALACETIC_ACID_1_c	RXN-2464		OXALACETIC_ACID	1	c
PHENYLALANINE-AMMONIA-LYASE-RXN__AMMONIUM_1_c	PHENYLALANINE-AMMONIA-LYASE-RXN		AMMONIUM	1	c
PHENYLALANINE-AMMONIA-LYASE-RXN_PHE__1_c	PHENYLALANINE-AMMONIA-LYASE-RXN	PHE		1	c
PHENYLALANINE-AMMONIA-LYASE-RXN__CPD-674_1_c	PHENYLALANINE-AMMONIA-LYASE-RXN		CPD-674	1	c
2.3.1.171-RXN_MALONYL-COA__1_c	2.3.1.171-RXN	MALONYL-COA		1	c
2.3.1.171-RXN_Anthocyanidin-3-O-beta-D-glucosides__1_c	2.3.1.171-RXN	Anthocyanidin-3-O-beta-D-glucosides		1	c
2.3.1.171-RXN__Anthocyanidin-malonyl-beta-D-glucosides_1_c	2.3.1.171-RXN		Anthocyanidin-malonyl-beta-D-glucosides	1	c
2.3.1.171-RXN__CO-A_1_c	2.3.1.171-RXN		CO-A	1	c
4.1.1.84-RXN__DIHYDROXYINDOLE_1_c	4.1.1.84-RXN		DIHYDROXYINDOLE	1	c
4.1.1.84-RXN_PROTON__1_c	4.1.1.84-RXN	PROTON		1	c
4.1.1.84-RXN_CPD-7272__1_c	4.1.1.84-RXN	CPD-7272		1	c
4.1.1.84-RXN__CARBON-DIOXIDE_1_c	4.1.1.84-RXN		CARBON-DIOXIDE	1	c
RXN-14181_WATER__1_c	RXN-14181	WATER		1	c
RXN-14181__Pi_1_c	RXN-14181		Pi	1	c
RXN-14181__PYRIDOXINE_1_c	RXN-14181		PYRIDOXINE	1	c
RXN-14181_PYRIDOXINE-5P__1_c	RXN-14181	PYRIDOXINE-5P		1	c
RXN-12398_CPD-13376__1_c	RXN-12398	CPD-13376		1	c
RXN-12398__D-galactopyranose_1_c	RXN-12398		D-galactopyranose	1	c
RXN-12398_WATER__1_c	RXN-12398	WATER		1	c
RXN-12398__CPD-13375_1_c	RXN-12398		CPD-13375	1	c
RXN3DJ-11417__PROTON_1_c	RXN3DJ-11417		PROTON	1	c
RXN3DJ-11417__ADP_1_c	RXN3DJ-11417		ADP	1	c
RXN3DJ-11417_SPHINGOSINE__1_c	RXN3DJ-11417	SPHINGOSINE		1	c
RXN3DJ-11417__CPD3DJ-11366_1_c	RXN3DJ-11417		CPD3DJ-11366	1	c
RXN3DJ-11417_ATP__1_c	RXN3DJ-11417	ATP		1	c
3.1.1.74-RXN_WATER__1_c	3.1.1.74-RXN	WATER		1	c
3.1.1.74-RXN_Cutins__1_c	3.1.1.74-RXN	Cutins		1	c
3.1.1.74-RXN__Cutin-Monomers_1_c	3.1.1.74-RXN		Cutin-Monomers	1	c
RXN-15045__CO-A_1_c	RXN-15045		CO-A	1	c
RXN-15045_OLEOYL-COA__1_c	RXN-15045	OLEOYL-COA		1	c
RXN-15045__L-1-LYSOPHOSPHATIDATE_1_c	RXN-15045		L-1-LYSOPHOSPHATIDATE	1	c
RXN-15045_GLYCEROL-3P__1_c	RXN-15045	GLYCEROL-3P		1	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN__GLT_1_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN		GLT	1	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN_WATER__2_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	WATER		2	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN_ATP__1_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	ATP		1	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN__Pi_1_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN		Pi	1	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN_5-OXOPROLINE__1_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	5-OXOPROLINE		1	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN__ADP_1_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN		ADP	1	c
5-OXOPROLINASE-ATP-HYDROLYSING-RXN__PROTON_1_c	5-OXOPROLINASE-ATP-HYDROLYSING-RXN		PROTON	1	c
RXN-15288__WATER_2_c	RXN-15288		WATER	2	c
RXN-15288_HYDROGEN-PEROXIDE__1_c	RXN-15288	HYDROGEN-PEROXIDE		1	c
RXN-15288__a-radical-of-luteolin-7-iOi-diglucuronid_2_c	RXN-15288		a-radical-of-luteolin-7-iOi-diglucuronid	2	c
RXN-15288_LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE__2_c	RXN-15288	LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE		2	c
3.4.24.76-RXN_General-Protein-Substrates__1_c	3.4.24.76-RXN	General-Protein-Substrates		1	c
3.4.24.76-RXN_WATER__1_c	3.4.24.76-RXN	WATER		1	c
3.4.24.76-RXN__Peptides-holder_1_c	3.4.24.76-RXN		Peptides-holder	1	c
RXN-14139__PROTON_1_c	RXN-14139		PROTON	1	c
RXN-14139_UTP__1_c	RXN-14139	UTP		1	c
RXN-14139__UMP_1_c	RXN-14139		UMP	1	c
RXN-14139__PPI_1_c	RXN-14139		PPI	1	c
RXN-14139_WATER__1_c	RXN-14139	WATER		1	c
RXN-2981__L-ALPHA-ALANINE_1_c	RXN-2981		L-ALPHA-ALANINE	1	c
RXN-2981__INDOLE_ACETATE_AUXIN_1_c	RXN-2981		INDOLE_ACETATE_AUXIN	1	c
RXN-2981_INDOLE-3-ACETYL-ALA__1_c	RXN-2981	INDOLE-3-ACETYL-ALA		1	c
RXN-2981_WATER__1_c	RXN-2981	WATER		1	c
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN_tRNA-uridine-38-40__1_c	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	tRNA-uridine-38-40		1	c
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN__tRNA-pseudouridine-38-40_1_c	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN		tRNA-pseudouridine-38-40	1	c
RXN-14771__HYDROGEN-PEROXIDE_1_c	RXN-14771		HYDROGEN-PEROXIDE	1	c
RXN-14771_OXYGEN-MOLECULE__1_c	RXN-14771	OXYGEN-MOLECULE		1	c
RXN-14771_CPD-15637__1_c	RXN-14771	CPD-15637		1	c
RXN-14771__CPD-15666_1_c	RXN-14771		CPD-15666	1	c
HISTPRATPHYD-RXN_PHOSPHORIBOSYL-ATP__1_c	HISTPRATPHYD-RXN	PHOSPHORIBOSYL-ATP		1	c
HISTPRATPHYD-RXN__PPI_1_c	HISTPRATPHYD-RXN		PPI	1	c
HISTPRATPHYD-RXN_WATER__1_c	HISTPRATPHYD-RXN	WATER		1	c
HISTPRATPHYD-RXN__PHOSPHORIBOSYL-AMP_1_c	HISTPRATPHYD-RXN		PHOSPHORIBOSYL-AMP	1	c
HISTPRATPHYD-RXN__PROTON_2_c	HISTPRATPHYD-RXN		PROTON	2	c
RXN1G-395_PROTON__1_c	RXN1G-395	PROTON		1	c
RXN1G-395__NAD_1_c	RXN1G-395		NAD	1	c
RXN1G-395_NADH__1_c	RXN1G-395	NADH		1	c
RXN1G-395__Arachidoyl-ACPs_1_c	RXN1G-395		Arachidoyl-ACPs	1	c
RXN1G-395_trans-delta2-arachidoyl-ACPs__1_c	RXN1G-395	trans-delta2-arachidoyl-ACPs		1	c
RXN1G-30__cis-delta3-behenoyl-ACPs_1_c	RXN1G-30		cis-delta3-behenoyl-ACPs	1	c
RXN1G-30_trans-delta2-behenoyl-ACPs__1_c	RXN1G-30	trans-delta2-behenoyl-ACPs		1	c
RXN-3443__G3P_1_c	RXN-3443		G3P	1	c
RXN-3443__PROTON_2_c	RXN-3443		PROTON	2	c
RXN-3443_NAD__1_c	RXN-3443	NAD		1	c
RXN-3443_WATER__1_c	RXN-3443	WATER		1	c
RXN-3443_GAP__1_c	RXN-3443	GAP		1	c
RXN-3443__NADH_1_c	RXN-3443		NADH	1	c
RXN-9724__NADP_2_c	RXN-9724		NADP	2	c
RXN-9724_PROTON__3_c	RXN-9724	PROTON		3	c
RXN-9724_NADPH__2_c	RXN-9724	NADPH		2	c
RXN-9724_PELARGONIDIN-CMPD__1_c	RXN-9724	PELARGONIDIN-CMPD		1	c
RXN-9724__CPD-10413_1_c	RXN-9724		CPD-10413	1	c
2.3.1.154-RXN__3-OXOPRISTANOYL-COA_1_c	2.3.1.154-RXN		3-OXOPRISTANOYL-COA	1	c
2.3.1.154-RXN__CO-A_1_c	2.3.1.154-RXN		CO-A	1	c
2.3.1.154-RXN_4812-TRIMETHYLTRIDECANOYL-COA__1_c	2.3.1.154-RXN	4812-TRIMETHYLTRIDECANOYL-COA		1	c
2.3.1.154-RXN_PROPIONYL-COA__1_c	2.3.1.154-RXN	PROPIONYL-COA		1	c
RXN-15148_HOMO-CYS__1_c	RXN-15148	HOMO-CYS		1	c
RXN-15148__HS_1_c	RXN-15148		HS	1	c
RXN-15148__PROTON_1_c	RXN-15148		PROTON	1	c
RXN-15148__CPD-15056_1_c	RXN-15148		CPD-15056	1	c
PEPDEPHOS-RXN__PHOSPHO-ENOL-PYRUVATE_1_c	PEPDEPHOS-RXN		PHOSPHO-ENOL-PYRUVATE	1	c
PEPDEPHOS-RXN_ATP__1_c	PEPDEPHOS-RXN	ATP		1	c
PEPDEPHOS-RXN__PROTON_1_c	PEPDEPHOS-RXN		PROTON	1	c
PEPDEPHOS-RXN_PYRUVATE__1_c	PEPDEPHOS-RXN	PYRUVATE		1	c
PEPDEPHOS-RXN__ADP_1_c	PEPDEPHOS-RXN		ADP	1	c
RXN-8155_CPD-693__1_c	RXN-8155	CPD-693		1	c
