xref	METACYC	UM-BBD-CPD	METABOLIGHTS	UNIPROT	NCI	LIGAND-MAP	DRUGBANK	SGD-PATHWAY	HMDB	ARACYC	ECOCYC	UM-BBD-PWY	CAS	PLANTCYC	KNAPSACK	BIGG	LIGAND-RXN	CHEMSPIDER	Wikipedia	PLASMOCYC	RHEA	LIGAND-CPD	REACTOME	PIR	CHEBI	PUBCHEM	HUMANCYC	KEGG-GLYCAN	LIPID_MAPS
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q8IL94																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P32984																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P50647																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P50650																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P50620																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O83972																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P43755																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9PJ87																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P39452																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O66503																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9JU45																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P47473																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P37146																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O26748																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O28609																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9PIR3																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9JU43																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P55982																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P03190																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P00452																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P69924																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P07201																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P26713																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P11158																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P11157																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P23921																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P31350																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q60561																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q03604																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P37426																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P17424																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P36602																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P36603																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P50643																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P50645																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q66662																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q66663																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P49723																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P50651																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P78027																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P74240																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O36410																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O36411																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P49730																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q89941																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q98526																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O41111																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9YMK7																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9YMI1																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9YMI0																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O57175																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O39262																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				O39263																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9YTK7																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9YTK6																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9UW15																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q9SJ20																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P03175																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P09247																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P09248																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P28847																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P28846																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P69520																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q01319																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P10224																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P16782																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P20503																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P26685																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P12848																									
THREDEHYD-RXN_xrefs				P25306													R00996				22108								
THREDEHYD-RXN_xrefs				Q04513																									
THREDEHYD-RXN_xrefs				P37946																									
THREDEHYD-RXN_xrefs				Q9JZW1																									
THREDEHYD-RXN_xrefs				Q02145																									
THREDEHYD-RXN_xrefs				P66897																									
THREDEHYD-RXN_xrefs				Q9WYJ1																									
THREDEHYD-RXN_xrefs				Q9PP95																									
THREDEHYD-RXN_xrefs				P25379																									
THREDEHYD-RXN_xrefs				P00927																									
THREDEHYD-RXN_xrefs				P20506																									
THREDEHYD-RXN_xrefs				P0AGF6																									
THREDEHYD-RXN_xrefs				P04968																									
THREDEHYD-RXN_xrefs				P20132																									
THREDEHYD-RXN_xrefs				P09367																									
THREDEHYD-RXN_xrefs				Q9RWU8																									
THREDEHYD-RXN_xrefs				Q9JUX5																									
THREDEHYD-RXN_xrefs				Q9ZD93																									
THREDEHYD-RXN_xrefs				P31212																									
THREDEHYD-RXN_xrefs				P36007																									
THREDEHYD-RXN_xrefs				P73375																									
THREDEHYD-RXN_xrefs				Q9T0D1																									
THREDEHYD-RXN_xrefs				Q39469																									
THREDEHYD-RXN_xrefs				Q93968																									
THREDEHYD-RXN_xrefs				Q9XAA4																									
THREDEHYD-RXN_xrefs				O94634																									
THREDEHYD-RXN_xrefs				O59791																									
TESTOSTERONE_xrefs			MTBLC17347				DB00624		HMDB00234									5215	Testosterone			C00535			17347	6013			LMST02020002
RXN-8451_xrefs																	R06815				25629								
PYRIMSYN1-RXN_xrefs																					24840								
1-3-7-TRIMETHYLXANTHINE_xrefs			MTBLC27732				DB00201		HMDB01847									2424				C07481			27732	2519			
CPD-12387_xrefs																										90658497			
THZ-P_xrefs																4mpetz						C04327			58296	25245616			
CPD-8685_xrefs									HMDB31152									4509638				C16323			80444	5352808			
RXN-5285_xrefs																	R06286												
CPD-13567_xrefs																						C01725			6435	439555			
PROPANE-1-2-DIOL_xrefs			MTBLC29002				DB04349		HMDB06213				57-55-6			12ppd__S		388890				C02917			29002	439846			
CPD-16514_xrefs																									78251	86289484			
CPD-9867_xrefs																									84518	25244935			
CPD-9699_xrefs									HMDB29427										Hypoglycin			C08287				25244430			
CPD-15633_xrefs																									12952	1593918			
ATPASE-RXN_xrefs				Q63731													R00086				13065								
ATPASE-RXN_xrefs				P02564																									
ATPASE-RXN_xrefs				P02563																									
ATPASE-RXN_xrefs				P12845																									
ATPASE-RXN_xrefs				P11055																									
ATPASE-RXN_xrefs				P10587																									
ATPASE-RXN_xrefs				P12844																									
ATPASE-RXN_xrefs				Q63350																									
ATPASE-RXN_xrefs				Q07443																									
ATPASE-RXN_xrefs				Q28699																									
ATPASE-RXN_xrefs				P02567																									
ATPASE-RXN_xrefs				P02566																									
ATPASE-RXN_xrefs				P10569																									
ATPASE-RXN_xrefs				P19706																									
ATPASE-RXN_xrefs				Q9IBD4																									
ATPASE-RXN_xrefs				Q90909																									
ATPASE-RXN_xrefs				Q90913																									
ATPASE-RXN_xrefs				Q9UKX2																									
ATPASE-RXN_xrefs				P13535																									
ATPASE-RXN_xrefs				Q02015																									
ATPASE-RXN_xrefs				Q9UMJ0																									
ATPASE-RXN_xrefs				P35579																									
ATPASE-RXN_xrefs				Q7M4G4																									
ATPASE-RXN_xrefs				P35580																									
ATPASE-RXN_xrefs				P34109																									
ATPASE-RXN_xrefs				Q9UQV1																									
ATPASE-RXN_xrefs				P13533																									
ATPASE-RXN_xrefs				Q99104																									
ATPASE-RXN_xrefs				Q01989																									
ATPASE-RXN_xrefs				P24733																									
ATPASE-RXN_xrefs				P19524																									
ATPASE-RXN_xrefs				P12883																									
ATPASE-RXN_xrefs				Q99323																									
ATPASE-RXN_xrefs				P14105																									
ATPASE-RXN_xrefs				P47807																									
ATPASE-RXN_xrefs				P34092																									
ATPASE-RXN_xrefs				P10568																									
ATPASE-RXN_xrefs				P05659																									
ATPASE-RXN_xrefs				P08799																									
ATPASE-RXN_xrefs				P12847																									
ATPASE-RXN_xrefs				P32492																									
ATPASE-RXN_xrefs				Q53368																									
ATPASE-RXN_xrefs				Q9NTI2																									
ATPASE-RXN_xrefs				Q92376																									
ATPASE-RXN_xrefs				P70704																									
ATPASE-RXN_xrefs				Q29449																									
ATPASE-RXN_xrefs				Q39889																									
ATPASE-RXN_xrefs				P93647																									
ATPASE-RXN_xrefs				P05444																									
ATPASE-RXN_xrefs				P0A9M0																									
ATPASE-RXN_xrefs				P0ABH9																									
ATPASE-RXN_xrefs				P49574																									
ATPASE-RXN_xrefs				P74459																									
ATPASE-RXN_xrefs				Q55662																									
ATPASE-RXN_xrefs				P74361																									
ATPASE-RXN_xrefs				P78025																									
ATPASE-RXN_xrefs				P51332																									
ATPASE-RXN_xrefs				Q55023																									
ATPASE-RXN_xrefs				Q09769																									
ATPASE-RXN_xrefs				P31539																									
ATPASE-RXN_xrefs				P36776																									
ATPASE-RXN_xrefs				P46067																									
ATPASE-RXN_xrefs				P36775																									
ATPASE-RXN_xrefs				P46523																									
ATPASE-RXN_xrefs				P35100																									
ATPASE-RXN_xrefs				P31540																									
ATPASE-RXN_xrefs				P23787																									
ATPASE-RXN_xrefs				P23596																									
ATPASE-RXN_xrefs				P24428																									
ATPASE-RXN_xrefs				P08716																									
ATPASE-RXN_xrefs				P42762																									
ATPASE-RXN_xrefs				P77810																									
ATPASE-RXN_xrefs				Q9I8A2																									
ATPASE-RXN_xrefs				Q16864																									
ATPASE-RXN_xrefs				P37571																									
ATPASE-RXN_xrefs				P37945																									
ATPASE-RXN_xrefs				P03018																									
