entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
P-PANTOCYSLIG-RXN_xrefs_P-PANTOCYSLIG-RXN__	P-PANTOCYSLIG-RXN_xrefs	P-PANTOCYSLIG-RXN		
RXN-10715_xrefs_RXN-10715__	RXN-10715_xrefs	RXN-10715		
RXN-14116_xrefs_RXN-14116__	RXN-14116_xrefs	RXN-14116		
RXN-3422_xrefs_RXN-3422__	RXN-3422_xrefs	RXN-3422		
4.2.2.2-RXN_xrefs_4.2.2.2-RXN__	4.2.2.2-RXN_xrefs	4.2.2.2-RXN		
2.4.1.83-RXN_xrefs_2.4.1.83-RXN__	2.4.1.83-RXN_xrefs	2.4.1.83-RXN		
3.2.1.10-RXN_xrefs_3.2.1.10-RXN__	3.2.1.10-RXN_xrefs	3.2.1.10-RXN		
--MENTHOL-DEHYDROGENASE-RXN_xrefs_--MENTHOL-DEHYDROGENASE-RXN__	--MENTHOL-DEHYDROGENASE-RXN_xrefs	--MENTHOL-DEHYDROGENASE-RXN		
3.1.31.1-RXN_xrefs_3.1.31.1-RXN__	3.1.31.1-RXN_xrefs	3.1.31.1-RXN		
RXN-12196_xrefs_RXN-12196__	RXN-12196_xrefs	RXN-12196		
GUANYLCYC-RXN_xrefs_GUANYLCYC-RXN__	GUANYLCYC-RXN_xrefs	GUANYLCYC-RXN		
RXN-2202_xrefs_RXN-2202__	RXN-2202_xrefs	RXN-2202		
THIOL-S-METHYLTRANSFERASE-RXN_xrefs_THIOL-S-METHYLTRANSFERASE-RXN__	THIOL-S-METHYLTRANSFERASE-RXN_xrefs	THIOL-S-METHYLTRANSFERASE-RXN		
THI-P-SYN-RXN_xrefs_THI-P-SYN-RXN__	THI-P-SYN-RXN_xrefs	THI-P-SYN-RXN		
IGPSYN-RXN_xrefs_IGPSYN-RXN__	IGPSYN-RXN_xrefs	IGPSYN-RXN		
DURIDKI-RXN_xrefs_DURIDKI-RXN__	DURIDKI-RXN_xrefs	DURIDKI-RXN		
3.2.1.106-RXN_xrefs_3.2.1.106-RXN__	3.2.1.106-RXN_xrefs	3.2.1.106-RXN		
2.7.1.134-RXN_xrefs_2.7.1.134-RXN__	2.7.1.134-RXN_xrefs	2.7.1.134-RXN		
RXN-13721_xrefs_RXN-13721__	RXN-13721_xrefs	RXN-13721		
3.5.2.12-RXN_xrefs_3.5.2.12-RXN__	3.5.2.12-RXN_xrefs	3.5.2.12-RXN		
ENTG-RXN_xrefs_ENTG-RXN__	ENTG-RXN_xrefs	ENTG-RXN		
3.5.1.52-RXN_xrefs_3.5.1.52-RXN__	3.5.1.52-RXN_xrefs	3.5.1.52-RXN		
2.4.1.195-RXN_xrefs_2.4.1.195-RXN__	2.4.1.195-RXN_xrefs	2.4.1.195-RXN		
RXN-3641_xrefs_RXN-3641__	RXN-3641_xrefs	RXN-3641		
UDPKIN-RXN_xrefs_UDPKIN-RXN__	UDPKIN-RXN_xrefs	UDPKIN-RXN		
RXN-2543_xrefs_RXN-2543__	RXN-2543_xrefs	RXN-2543		
2.6.1.28-RXN_xrefs_2.6.1.28-RXN__	2.6.1.28-RXN_xrefs	2.6.1.28-RXN		
RXN-12002_xrefs_RXN-12002__	RXN-12002_xrefs	RXN-12002		
BENZYL-ALC-DEHYDROGENASE-RXN_xrefs_BENZYL-ALC-DEHYDROGENASE-RXN__	BENZYL-ALC-DEHYDROGENASE-RXN_xrefs	BENZYL-ALC-DEHYDROGENASE-RXN		
4.1.1.86-RXN_xrefs_4.1.1.86-RXN__	4.1.1.86-RXN_xrefs	4.1.1.86-RXN		
2.1.1.57-RXN_xrefs_2.1.1.57-RXN__	2.1.1.57-RXN_xrefs	2.1.1.57-RXN		
NACGLCTRANS-RXN_xrefs_NACGLCTRANS-RXN__	NACGLCTRANS-RXN_xrefs	NACGLCTRANS-RXN		
DIHYDROOROTATE-DEHYDROGENASE-RXN_xrefs_DIHYDROOROTATE-DEHYDROGENASE-RXN__	DIHYDROOROTATE-DEHYDROGENASE-RXN_xrefs	DIHYDROOROTATE-DEHYDROGENASE-RXN		
UDP-GLUCURONOSYLTRANSFERASE-RXN_xrefs_UDP-GLUCURONOSYLTRANSFERASE-RXN__	UDP-GLUCURONOSYLTRANSFERASE-RXN_xrefs	UDP-GLUCURONOSYLTRANSFERASE-RXN		
RXN-4243_xrefs_RXN-4243__	RXN-4243_xrefs	RXN-4243		
RXN-14224_xrefs_RXN-14224__	RXN-14224_xrefs	RXN-14224		
RXN-7985_xrefs_RXN-7985__	RXN-7985_xrefs	RXN-7985		
RXN-5781_xrefs_RXN-5781__	RXN-5781_xrefs	RXN-5781		
DIPHTINE--AMMONIA-LIGASE-RXN_xrefs_DIPHTINE--AMMONIA-LIGASE-RXN__	DIPHTINE--AMMONIA-LIGASE-RXN_xrefs	DIPHTINE--AMMONIA-LIGASE-RXN		
RXN-6381_xrefs_RXN-6381__	RXN-6381_xrefs	RXN-6381		
3.3.2.9-RXN_xrefs_3.3.2.9-RXN__	3.3.2.9-RXN_xrefs	3.3.2.9-RXN		
DIHYDROFOLATEREDUCT-RXN_xrefs_DIHYDROFOLATEREDUCT-RXN__	DIHYDROFOLATEREDUCT-RXN_xrefs	DIHYDROFOLATEREDUCT-RXN		
SQUALENE-MONOOXYGENASE-RXN_xrefs_SQUALENE-MONOOXYGENASE-RXN__	SQUALENE-MONOOXYGENASE-RXN_xrefs	SQUALENE-MONOOXYGENASE-RXN		
D-PPENTOMUT-RXN_xrefs_D-PPENTOMUT-RXN__	D-PPENTOMUT-RXN_xrefs	D-PPENTOMUT-RXN		
N-ACETYLGLUTPREDUCT-RXN_xrefs_N-ACETYLGLUTPREDUCT-RXN__	N-ACETYLGLUTPREDUCT-RXN_xrefs	N-ACETYLGLUTPREDUCT-RXN		
NARINGENIN-3-DIOXYGENASE-RXN_xrefs_NARINGENIN-3-DIOXYGENASE-RXN__	NARINGENIN-3-DIOXYGENASE-RXN_xrefs	NARINGENIN-3-DIOXYGENASE-RXN		
RXN1F-167_xrefs_RXN1F-167__	RXN1F-167_xrefs	RXN1F-167		
METHIONINE-GAMMA-LYASE-RXN_xrefs_METHIONINE-GAMMA-LYASE-RXN__	METHIONINE-GAMMA-LYASE-RXN_xrefs	METHIONINE-GAMMA-LYASE-RXN		
CYTOCHROME-C-OXIDASE-RXN_xrefs_CYTOCHROME-C-OXIDASE-RXN__	CYTOCHROME-C-OXIDASE-RXN_xrefs	CYTOCHROME-C-OXIDASE-RXN		
3.6.3.43-RXN_xrefs_3.6.3.43-RXN__	3.6.3.43-RXN_xrefs	3.6.3.43-RXN		
HOMOCYSTEINE-DESULFHYDRASE-RXN_xrefs_HOMOCYSTEINE-DESULFHYDRASE-RXN__	HOMOCYSTEINE-DESULFHYDRASE-RXN_xrefs	HOMOCYSTEINE-DESULFHYDRASE-RXN		
THIOSULFATE-SULFURTRANSFERASE-RXN_xrefs_THIOSULFATE-SULFURTRANSFERASE-RXN__	THIOSULFATE-SULFURTRANSFERASE-RXN_xrefs	THIOSULFATE-SULFURTRANSFERASE-RXN		
L-IDITOL-2-DEHYDROGENASE-RXN_xrefs_L-IDITOL-2-DEHYDROGENASE-RXN__	L-IDITOL-2-DEHYDROGENASE-RXN_xrefs	L-IDITOL-2-DEHYDROGENASE-RXN		
DTDPGLUCDEHYDRAT-RXN_xrefs_DTDPGLUCDEHYDRAT-RXN__	DTDPGLUCDEHYDRAT-RXN_xrefs	DTDPGLUCDEHYDRAT-RXN		
RXN-13681_xrefs_RXN-13681__	RXN-13681_xrefs	RXN-13681		
ACONITATEDEHYDR-RXN_xrefs_ACONITATEDEHYDR-RXN__	ACONITATEDEHYDR-RXN_xrefs	ACONITATEDEHYDR-RXN		
3.2.1.21-RXN_xrefs_3.2.1.21-RXN__	3.2.1.21-RXN_xrefs	3.2.1.21-RXN		
NITRILE-HYDRATASE-RXN_xrefs_NITRILE-HYDRATASE-RXN__	NITRILE-HYDRATASE-RXN_xrefs	NITRILE-HYDRATASE-RXN		
DHBDEHYD-RXN_xrefs_DHBDEHYD-RXN__	DHBDEHYD-RXN_xrefs	DHBDEHYD-RXN		
DETHIOBIOTIN-SYN-RXN_xrefs_DETHIOBIOTIN-SYN-RXN__	DETHIOBIOTIN-SYN-RXN_xrefs	DETHIOBIOTIN-SYN-RXN		
CPD-5662_xrefs___CPD-5662	CPD-5662_xrefs			CPD-5662
CPD-7414_xrefs___CPD-7414	CPD-7414_xrefs			CPD-7414
CPD-2542_xrefs___CPD-2542	CPD-2542_xrefs			CPD-2542
AN-ALPHA-L-FUCOSIDE_xrefs___AN-ALPHA-L-FUCOSIDE	AN-ALPHA-L-FUCOSIDE_xrefs			AN-ALPHA-L-FUCOSIDE
CPD-15655_xrefs___CPD-15655	CPD-15655_xrefs			CPD-15655
CARBAMATE_xrefs___CARBAMATE	CARBAMATE_xrefs			CARBAMATE
CPD-108_xrefs___CPD-108	CPD-108_xrefs			CPD-108
2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX_xrefs___2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX	2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX_xrefs			2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX
DEOXY-D-RIBOSE-1-PHOSPHATE_xrefs___DEOXY-D-RIBOSE-1-PHOSPHATE	DEOXY-D-RIBOSE-1-PHOSPHATE_xrefs			DEOXY-D-RIBOSE-1-PHOSPHATE
ACETYL-GLU_xrefs___ACETYL-GLU	ACETYL-GLU_xrefs			ACETYL-GLU
CPD-7417_xrefs___CPD-7417	CPD-7417_xrefs			CPD-7417
CPD-568_xrefs___CPD-568	CPD-568_xrefs			CPD-568
ALPHA-D-GALACTOSE_xrefs___ALPHA-D-GALACTOSE	ALPHA-D-GALACTOSE_xrefs			ALPHA-D-GALACTOSE
N-ACETYL-SEROTONIN_xrefs___N-ACETYL-SEROTONIN	N-ACETYL-SEROTONIN_xrefs			N-ACETYL-SEROTONIN
CPD-4702_xrefs___CPD-4702	CPD-4702_xrefs			CPD-4702
CPD-10806_xrefs___CPD-10806	CPD-10806_xrefs			CPD-10806
CPD-7867_xrefs___CPD-7867	CPD-7867_xrefs			CPD-7867
CPD-266_xrefs___CPD-266	CPD-266_xrefs			CPD-266
CPD-15656_xrefs___CPD-15656	CPD-15656_xrefs			CPD-15656
3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE_xrefs___3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE	3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE_xrefs			3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE
13-HYDROPEROXYOCTADECA-911-DIENOATE_xrefs___13-HYDROPEROXYOCTADECA-911-DIENOATE	13-HYDROPEROXYOCTADECA-911-DIENOATE_xrefs			13-HYDROPEROXYOCTADECA-911-DIENOATE
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE_xrefs___LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE	LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE_xrefs			LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE
CARBAMOYL-P_xrefs___CARBAMOYL-P	CARBAMOYL-P_xrefs			CARBAMOYL-P
XANTHINE_xrefs___XANTHINE	XANTHINE_xrefs			XANTHINE
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ_xrefs___2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ	2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ_xrefs			2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ
3-METHYLTHIOPROPYL-GLUCOSINOLATE_xrefs___3-METHYLTHIOPROPYL-GLUCOSINOLATE	3-METHYLTHIOPROPYL-GLUCOSINOLATE_xrefs			3-METHYLTHIOPROPYL-GLUCOSINOLATE
CPD-7418_xrefs___CPD-7418	CPD-7418_xrefs			CPD-7418
DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE_xrefs___DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE	DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE_xrefs			DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE
CPD-1081_xrefs___CPD-1081	CPD-1081_xrefs			CPD-1081
CPD-15657_xrefs___CPD-15657	CPD-15657_xrefs			CPD-15657
CPD-13006_xrefs___CPD-13006	CPD-13006_xrefs			CPD-13006
CPD-10818_xrefs___CPD-10818	CPD-10818_xrefs			CPD-10818
CPD-6746_xrefs___CPD-6746	CPD-6746_xrefs			CPD-6746
ANDROST4ENE_xrefs___ANDROST4ENE	ANDROST4ENE_xrefs			ANDROST4ENE
CPD-3604_xrefs___CPD-3604	CPD-3604_xrefs			CPD-3604
CPD-2742_xrefs___CPD-2742	CPD-2742_xrefs			CPD-2742
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL_xrefs___2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL	2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL_xrefs			2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL
CPD-15658_xrefs___CPD-15658	CPD-15658_xrefs			CPD-15658
CPD-471_xrefs___CPD-471	CPD-471_xrefs			CPD-471
LUTEOLIN-7-O-BETA-D-GLUCURONIDE_xrefs___LUTEOLIN-7-O-BETA-D-GLUCURONIDE	LUTEOLIN-7-O-BETA-D-GLUCURONIDE_xrefs			LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ALPHA-GLC-6-P_xrefs___ALPHA-GLC-6-P	ALPHA-GLC-6-P_xrefs			ALPHA-GLC-6-P
CPD-5804_xrefs___CPD-5804	CPD-5804_xrefs			CPD-5804
CPD-7419_xrefs___CPD-7419	CPD-7419_xrefs			CPD-7419
3-METHYLTHIOPROPYLHYDROXAMIC-ACID_xrefs___3-METHYLTHIOPROPYLHYDROXAMIC-ACID	3-METHYLTHIOPROPYLHYDROXAMIC-ACID_xrefs			3-METHYLTHIOPROPYLHYDROXAMIC-ACID
CPD-15661_xrefs___CPD-15661	CPD-15661_xrefs			CPD-15661
CPD-3618_xrefs___CPD-3618	CPD-3618_xrefs			CPD-3618
CPD-1301_xrefs___CPD-1301	CPD-1301_xrefs			CPD-1301
13-HYDROXY-MAGNESIUM-PROTOPORP_xrefs___13-HYDROXY-MAGNESIUM-PROTOPORP	13-HYDROXY-MAGNESIUM-PROTOPORP_xrefs			13-HYDROXY-MAGNESIUM-PROTOPORP
CPD-13014_xrefs___CPD-13014	CPD-13014_xrefs			CPD-13014
DEOXYADENOSINE_xrefs___DEOXYADENOSINE	DEOXYADENOSINE_xrefs			DEOXYADENOSINE
G3P_xrefs___G3P	G3P_xrefs			G3P
CPD-2743_xrefs___CPD-2743	CPD-2743_xrefs			CPD-2743
CARBAMYUL-L-ASPARTATE_xrefs___CARBAMYUL-L-ASPARTATE	CARBAMYUL-L-ASPARTATE_xrefs			CARBAMYUL-L-ASPARTATE
2-HYDROXY-2-METHYLPROPANENITRILE_xrefs___2-HYDROXY-2-METHYLPROPANENITRILE	2-HYDROXY-2-METHYLPROPANENITRILE_xrefs			2-HYDROXY-2-METHYLPROPANENITRILE
CPD-3617_xrefs___CPD-3617	CPD-3617_xrefs			CPD-3617
UDP_xrefs___UDP	UDP_xrefs			UDP
CPD-5821_xrefs___CPD-5821	CPD-5821_xrefs			CPD-5821
CPD-787_xrefs___CPD-787	CPD-787_xrefs			CPD-787
LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2_xrefs___LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2	LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2_xrefs			LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2
CPD-474_xrefs___CPD-474	CPD-474_xrefs			CPD-474
CPD-15662_xrefs___CPD-15662	CPD-15662_xrefs			CPD-15662
CPD-7422_xrefs___CPD-7422	CPD-7422_xrefs			CPD-7422
ALPHA-GLUCOSE_xrefs___ALPHA-GLUCOSE	ALPHA-GLUCOSE_xrefs			ALPHA-GLUCOSE
CPD-1082_xrefs___CPD-1082	CPD-1082_xrefs			CPD-1082
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M_xrefs___131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M	131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M_xrefs			131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M
ALPHA-GLUCOSE-16-BISPHOSPHATE_xrefs___ALPHA-GLUCOSE-16-BISPHOSPHATE	ALPHA-GLUCOSE-16-BISPHOSPHATE_xrefs			ALPHA-GLUCOSE-16-BISPHOSPHATE
ANTHRANILATE_xrefs___ANTHRANILATE	ANTHRANILATE_xrefs			ANTHRANILATE
3-Methyl-Adenines_xrefs___3-Methyl-Adenines	3-Methyl-Adenines_xrefs			3-Methyl-Adenines
CPD-2744_xrefs___CPD-2744	CPD-2744_xrefs			CPD-2744
CPD-15663_xrefs___CPD-15663	CPD-15663_xrefs			CPD-15663
CPD-675_xrefs___CPD-675	CPD-675_xrefs			CPD-675
CPD-7873_xrefs___CPD-7873	CPD-7873_xrefs			CPD-7873
CPD-5845_xrefs___CPD-5845	CPD-5845_xrefs			CPD-5845
LYS_xrefs___LYS	LYS_xrefs			LYS
CPD-2747_xrefs___CPD-2747	CPD-2747_xrefs			CPD-2747
CPD-7424_xrefs___CPD-7424	CPD-7424_xrefs			CPD-7424
CPD-7875_xrefs___CPD-7875	CPD-7875_xrefs			CPD-7875
16-EPIVELLOSIMINE_xrefs___16-EPIVELLOSIMINE	16-EPIVELLOSIMINE_xrefs			16-EPIVELLOSIMINE
UROCANATE_xrefs___UROCANATE	UROCANATE_xrefs			UROCANATE
CPD-15666_xrefs___CPD-15666	CPD-15666_xrefs			CPD-15666
CPD-1302_xrefs___CPD-1302	CPD-1302_xrefs			CPD-1302
CPD-1083_xrefs___CPD-1083	CPD-1083_xrefs			CPD-1083
XANTHOSINE_xrefs___XANTHOSINE	XANTHOSINE_xrefs			XANTHOSINE
CPD-5846_xrefs___CPD-5846	CPD-5846_xrefs			CPD-5846
CPD-479_xrefs___CPD-479	CPD-479_xrefs			CPD-479
CPD-13025_xrefs___CPD-13025	CPD-13025_xrefs			CPD-13025
UDP-D-GALACTURONATE_xrefs___UDP-D-GALACTURONATE	UDP-D-GALACTURONATE_xrefs			UDP-D-GALACTURONATE
CPD-10832_xrefs___CPD-10832	CPD-10832_xrefs			CPD-10832
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP_xrefs___2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP_xrefs			2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP
XANTHOSINE-5-PHOSPHATE_xrefs___XANTHOSINE-5-PHOSPHATE	XANTHOSINE-5-PHOSPHATE_xrefs			XANTHOSINE-5-PHOSPHATE
CARBON-DIOXIDE_xrefs___CARBON-DIOXIDE	CARBON-DIOXIDE_xrefs			CARBON-DIOXIDE
DEOXYCYTIDINE_xrefs___DEOXYCYTIDINE	DEOXYCYTIDINE_xrefs			DEOXYCYTIDINE
CPD-365_xrefs___CPD-365	CPD-365_xrefs			CPD-365
3-OCTAPRENYL-4-HYDROXYBENZOATE_xrefs___3-OCTAPRENYL-4-HYDROXYBENZOATE	3-OCTAPRENYL-4-HYDROXYBENZOATE_xrefs			3-OCTAPRENYL-4-HYDROXYBENZOATE
16-HYDROXYPALMITATE_xrefs___16-HYDROXYPALMITATE	16-HYDROXYPALMITATE_xrefs			16-HYDROXYPALMITATE
CPD-7496_xrefs___CPD-7496	CPD-7496_xrefs			CPD-7496
CPD-15667_xrefs___CPD-15667	CPD-15667_xrefs			CPD-15667
CPD-2751_xrefs___CPD-2751	CPD-2751_xrefs			CPD-2751
CPD-12521_xrefs___CPD-12521	CPD-12521_xrefs			CPD-12521
CPD-13567_xrefs___CPD-13567	CPD-13567_xrefs			CPD-13567
DIMETHYL-D-RIBITYL-LUMAZINE_xrefs___DIMETHYL-D-RIBITYL-LUMAZINE	DIMETHYL-D-RIBITYL-LUMAZINE_xrefs			DIMETHYL-D-RIBITYL-LUMAZINE
TOLUENECISDHDIOL_xrefs___TOLUENECISDHDIOL	TOLUENECISDHDIOL_xrefs			TOLUENECISDHDIOL
CPDQT-413_xrefs___CPDQT-413	CPDQT-413_xrefs			CPDQT-413
CPD-12199_xrefs___CPD-12199	CPD-12199_xrefs			CPD-12199
UDP-D-XYLOSE_xrefs___UDP-D-XYLOSE	UDP-D-XYLOSE_xrefs			UDP-D-XYLOSE
CPDQT-414_xrefs___CPDQT-414	CPDQT-414_xrefs			CPDQT-414
CPD-12541_xrefs___CPD-12541	CPD-12541_xrefs			CPD-12541
CPD-13575_xrefs___CPD-13575	CPD-13575_xrefs			CPD-13575
TRP_xrefs___TRP	TRP_xrefs			TRP
CPDQT-415_xrefs___CPDQT-415	CPDQT-415_xrefs			CPDQT-415
CPD-122_xrefs___CPD-122	CPD-122_xrefs			CPD-122
CPDQT-416_xrefs___CPDQT-416	CPDQT-416_xrefs			CPDQT-416
CPD-12247_xrefs___CPD-12247	CPD-12247_xrefs			CPD-12247
CPD-13576_xrefs___CPD-13576	CPD-13576_xrefs			CPD-13576
DIMETHYL-GLYCINE_xrefs___DIMETHYL-GLYCINE	DIMETHYL-GLYCINE_xrefs			DIMETHYL-GLYCINE
GLUCOTROPEOLIN_xrefs___GLUCOTROPEOLIN	GLUCOTROPEOLIN_xrefs			GLUCOTROPEOLIN
CPDQT-417_xrefs___CPDQT-417	CPDQT-417_xrefs			CPDQT-417
CPD-12258_xrefs___CPD-12258	CPD-12258_xrefs			CPD-12258
CPDQT-418_xrefs___CPDQT-418	CPDQT-418_xrefs			CPDQT-418
CPDQT-419_xrefs___CPDQT-419	CPDQT-419_xrefs			CPDQT-419
CPD-14667_xrefs___CPD-14667	CPD-14667_xrefs			CPD-14667
CPD-13578_xrefs___CPD-13578	CPD-13578_xrefs			CPD-13578
CPD-12575_xrefs___CPD-12575	CPD-12575_xrefs			CPD-12575
CPD-12279_xrefs___CPD-12279	CPD-12279_xrefs			CPD-12279
BISOHMYR-GLC_xrefs___BISOHMYR-GLC	BISOHMYR-GLC_xrefs			BISOHMYR-GLC
CPD-14673_xrefs___CPD-14673	CPD-14673_xrefs			CPD-14673
UDP-GLUCURONATE_xrefs___UDP-GLUCURONATE	UDP-GLUCURONATE_xrefs			UDP-GLUCURONATE
BISOHMYR-GLUCOSAMINYL-1P_xrefs___BISOHMYR-GLUCOSAMINYL-1P	BISOHMYR-GLUCOSAMINYL-1P_xrefs			BISOHMYR-GLUCOSAMINYL-1P
CPD-13604_xrefs___CPD-13604	CPD-13604_xrefs			CPD-13604
CPD-12281_xrefs___CPD-12281	CPD-12281_xrefs			CPD-12281
CPD-12581_xrefs___CPD-12581	CPD-12581_xrefs			CPD-12581
CPD-13605_xrefs___CPD-13605	CPD-13605_xrefs			CPD-13605
CPD-14675_xrefs___CPD-14675	CPD-14675_xrefs			CPD-14675
CPD-12284_xrefs___CPD-12284	CPD-12284_xrefs			CPD-12284
DIMP_xrefs___DIMP	DIMP_xrefs			DIMP
P3I_xrefs___P3I	P3I_xrefs			P3I
CPD-13610_xrefs___CPD-13610	CPD-13610_xrefs			CPD-13610
CPD-14704_xrefs___CPD-14704	CPD-14704_xrefs			CPD-14704
CPD-12587_xrefs___CPD-12587	CPD-12587_xrefs			CPD-12587
CPD-12285_xrefs___CPD-12285	CPD-12285_xrefs			CPD-12285
CPD-13611_xrefs___CPD-13611	CPD-13611_xrefs			CPD-13611
CPD-14705_xrefs___CPD-14705	CPD-14705_xrefs			CPD-14705
CPD-12601_xrefs___CPD-12601	CPD-12601_xrefs			CPD-12601
CPD-10296_xrefs___CPD-10296	CPD-10296_xrefs			CPD-10296
CH3-MALONATE-S-ALD_xrefs___CH3-MALONATE-S-ALD	CH3-MALONATE-S-ALD_xrefs			CH3-MALONATE-S-ALD
B-ALANINE_xrefs___B-ALANINE	B-ALANINE_xrefs			B-ALANINE
CPD0-2117_xrefs___CPD0-2117	CPD0-2117_xrefs			CPD0-2117
CPD-708_xrefs___CPD-708	CPD-708_xrefs			CPD-708
FORMALDEHYDE_xrefs___FORMALDEHYDE	FORMALDEHYDE_xrefs			FORMALDEHYDE
CPD-10303_xrefs___CPD-10303	CPD-10303_xrefs			CPD-10303
D-SORBITOL-6-P_xrefs___D-SORBITOL-6-P	D-SORBITOL-6-P_xrefs			D-SORBITOL-6-P
MALONYL-COA_xrefs___MALONYL-COA	MALONYL-COA_xrefs			MALONYL-COA
CPD-7087_xrefs___CPD-7087	CPD-7087_xrefs			CPD-7087
CPD0-2121_xrefs___CPD0-2121	CPD0-2121_xrefs			CPD0-2121
NADP_xrefs___NADP	NADP_xrefs			NADP
Elemental-Sulfur_xrefs___Elemental-Sulfur	Elemental-Sulfur_xrefs			Elemental-Sulfur
CPD-10308_xrefs___CPD-10308	CPD-10308_xrefs			CPD-10308
ADENOSYL-HOMO-CYS_xrefs___ADENOSYL-HOMO-CYS	ADENOSYL-HOMO-CYS_xrefs			ADENOSYL-HOMO-CYS
CH33ADO_xrefs___CH33ADO	CH33ADO_xrefs			CH33ADO
4-HYDROXY-L-PROLINE_xrefs___4-HYDROXY-L-PROLINE	4-HYDROXY-L-PROLINE_xrefs			4-HYDROXY-L-PROLINE
L-BETA-ASPARTYL-P_xrefs___L-BETA-ASPARTYL-P	L-BETA-ASPARTYL-P_xrefs			L-BETA-ASPARTYL-P
CPD-7088_xrefs___CPD-7088	CPD-7088_xrefs			CPD-7088
D-THREONINE_xrefs___D-THREONINE	D-THREONINE_xrefs			D-THREONINE
6Z8E10E14Z-5S12R-512-DIHYDROXYI_xrefs___6Z8E10E14Z-5S12R-512-DIHYDROXYI	6Z8E10E14Z-5S12R-512-DIHYDROXYI_xrefs			6Z8E10E14Z-5S12R-512-DIHYDROXYI
CPD-4203_xrefs___CPD-4203	CPD-4203_xrefs			CPD-4203
ADENOSYL-P4_xrefs___ADENOSYL-P4	ADENOSYL-P4_xrefs			ADENOSYL-P4
L-CANALINE_xrefs___L-CANALINE	L-CANALINE_xrefs			L-CANALINE
4-HYDROXYBENZALDEHYDE_xrefs___4-HYDROXYBENZALDEHYDE	4-HYDROXYBENZALDEHYDE_xrefs			4-HYDROXYBENZALDEHYDE
CPD-10330_xrefs___CPD-10330	CPD-10330_xrefs			CPD-10330
D-XYLULOSE_xrefs___D-XYLULOSE	D-XYLULOSE_xrefs			D-XYLULOSE
CPD0-2123_xrefs___CPD0-2123	CPD0-2123_xrefs			CPD0-2123
SINAPALDEHYDE_xrefs___SINAPALDEHYDE	SINAPALDEHYDE_xrefs			SINAPALDEHYDE
POLYNEURIDINE-ALDEHYDE_xrefs___POLYNEURIDINE-ALDEHYDE	POLYNEURIDINE-ALDEHYDE_xrefs			POLYNEURIDINE-ALDEHYDE
BACCATIN-III_xrefs___BACCATIN-III	BACCATIN-III_xrefs			BACCATIN-III
CPD0-2171_xrefs___CPD0-2171	CPD0-2171_xrefs			CPD0-2171
SINAPATE_xrefs___SINAPATE	SINAPATE_xrefs			SINAPATE
CPD-10332_xrefs___CPD-10332	CPD-10332_xrefs			CPD-10332
CH4_xrefs___CH4	CH4_xrefs			CH4
CPD-709_xrefs___CPD-709	CPD-709_xrefs			CPD-709
ADENOSYLCOBALAMIN_xrefs___ADENOSYLCOBALAMIN	ADENOSYLCOBALAMIN_xrefs			ADENOSYLCOBALAMIN
CPD-7090_xrefs___CPD-7090	CPD-7090_xrefs			CPD-7090
