entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
2.5.1.19-RXN_xrefs_2.5.1.19-RXN__	2.5.1.19-RXN_xrefs	2.5.1.19-RXN		
2.5.1.43-RXN_xrefs_2.5.1.43-RXN__	2.5.1.43-RXN_xrefs	2.5.1.43-RXN		
RXN-9673_xrefs_RXN-9673__	RXN-9673_xrefs	RXN-9673		
1.14.13.79-RXN_xrefs_1.14.13.79-RXN__	1.14.13.79-RXN_xrefs	1.14.13.79-RXN		
RXN-12507_xrefs_RXN-12507__	RXN-12507_xrefs	RXN-12507		
RXN0-5224_xrefs_RXN0-5224__	RXN0-5224_xrefs	RXN0-5224		
2.1.1.5-RXN_xrefs_2.1.1.5-RXN__	2.1.1.5-RXN_xrefs	2.1.1.5-RXN		
METHENYLTHFCYCLOHYDRO-RXN_xrefs_METHENYLTHFCYCLOHYDRO-RXN__	METHENYLTHFCYCLOHYDRO-RXN_xrefs	METHENYLTHFCYCLOHYDRO-RXN		
GMP-REDUCT-RXN_xrefs_GMP-REDUCT-RXN__	GMP-REDUCT-RXN_xrefs	GMP-REDUCT-RXN		
RXN-9293_xrefs_RXN-9293__	RXN-9293_xrefs	RXN-9293		
RXN-9597_xrefs_RXN-9597__	RXN-9597_xrefs	RXN-9597		
RXN-7913_xrefs_RXN-7913__	RXN-7913_xrefs	RXN-7913		
RXN-14207_xrefs_RXN-14207__	RXN-14207_xrefs	RXN-14207		
RXN6666-5_xrefs_RXN6666-5__	RXN6666-5_xrefs	RXN6666-5		
RXN0-901_xrefs_RXN0-901__	RXN0-901_xrefs	RXN0-901		
RXN0-1134_xrefs_RXN0-1134__	RXN0-1134_xrefs	RXN0-1134		
RXN-1224_xrefs_RXN-1224__	RXN-1224_xrefs	RXN-1224		
RXN-7946_xrefs_RXN-7946__	RXN-7946_xrefs	RXN-7946		
RXN-2961_xrefs_RXN-2961__	RXN-2961_xrefs	RXN-2961		
HISTIDINE-DECARBOXYLASE-RXN_xrefs_HISTIDINE-DECARBOXYLASE-RXN__	HISTIDINE-DECARBOXYLASE-RXN_xrefs	HISTIDINE-DECARBOXYLASE-RXN		
RXN-14037_xrefs_RXN-14037__	RXN-14037_xrefs	RXN-14037		
NADH-DEHYDROGENASE-QUINONE-RXN_xrefs_NADH-DEHYDROGENASE-QUINONE-RXN__	NADH-DEHYDROGENASE-QUINONE-RXN_xrefs	NADH-DEHYDROGENASE-QUINONE-RXN		
RXN0-5187_xrefs_RXN0-5187__	RXN0-5187_xrefs	RXN0-5187		
ACETYLGLUTKIN-RXN_xrefs_ACETYLGLUTKIN-RXN__	ACETYLGLUTKIN-RXN_xrefs	ACETYLGLUTKIN-RXN		
RXN-14049_xrefs_RXN-14049__	RXN-14049_xrefs	RXN-14049		
RXN-12019_xrefs_RXN-12019__	RXN-12019_xrefs	RXN-12019		
3.2.1.17-RXN_xrefs_3.2.1.17-RXN__	3.2.1.17-RXN_xrefs	3.2.1.17-RXN		
PREPHENATE-ASP-TRANSAMINE-RXN_xrefs_PREPHENATE-ASP-TRANSAMINE-RXN__	PREPHENATE-ASP-TRANSAMINE-RXN_xrefs	PREPHENATE-ASP-TRANSAMINE-RXN		
ALLENE-OXIDE-CYCLASE-RXN_xrefs_ALLENE-OXIDE-CYCLASE-RXN__	ALLENE-OXIDE-CYCLASE-RXN_xrefs	ALLENE-OXIDE-CYCLASE-RXN		
GAMMA-GLUTAMYLTRANSFERASE-RXN_xrefs_GAMMA-GLUTAMYLTRANSFERASE-RXN__	GAMMA-GLUTAMYLTRANSFERASE-RXN_xrefs	GAMMA-GLUTAMYLTRANSFERASE-RXN		
HISTAMINOTRANS-RXN_xrefs_HISTAMINOTRANS-RXN__	HISTAMINOTRANS-RXN_xrefs	HISTAMINOTRANS-RXN		
RXN-8001_xrefs_RXN-8001__	RXN-8001_xrefs	RXN-8001		
DEHYDDEOXPHOSGALACT-ALDOL-RXN_xrefs_DEHYDDEOXPHOSGALACT-ALDOL-RXN__	DEHYDDEOXPHOSGALACT-ALDOL-RXN_xrefs	DEHYDDEOXPHOSGALACT-ALDOL-RXN		
2.3.1.180-RXN_xrefs_2.3.1.180-RXN__	2.3.1.180-RXN_xrefs	2.3.1.180-RXN		
RXN-14062_xrefs_RXN-14062__	RXN-14062_xrefs	RXN-14062		
CERAMIDE-KINASE-RXN_xrefs_CERAMIDE-KINASE-RXN__	CERAMIDE-KINASE-RXN_xrefs	CERAMIDE-KINASE-RXN		
MERCAPYSTRANS-RXN_xrefs_MERCAPYSTRANS-RXN__	MERCAPYSTRANS-RXN_xrefs	MERCAPYSTRANS-RXN		
CYTOCHROME-B5-REDUCTASE-RXN_xrefs_CYTOCHROME-B5-REDUCTASE-RXN__	CYTOCHROME-B5-REDUCTASE-RXN_xrefs	CYTOCHROME-B5-REDUCTASE-RXN		
ALPHA-L-FUCOSIDASE-RXN_xrefs_ALPHA-L-FUCOSIDASE-RXN__	ALPHA-L-FUCOSIDASE-RXN_xrefs	ALPHA-L-FUCOSIDASE-RXN		
DHDOGALDOL-RXN_xrefs_DHDOGALDOL-RXN__	DHDOGALDOL-RXN_xrefs	DHDOGALDOL-RXN		
FRUCTOKINASE-RXN_xrefs_FRUCTOKINASE-RXN__	FRUCTOKINASE-RXN_xrefs	FRUCTOKINASE-RXN		
R83-RXN_xrefs_R83-RXN__	R83-RXN_xrefs	R83-RXN		
RXN0-2101_xrefs_RXN0-2101__	RXN0-2101_xrefs	RXN0-2101		
PROTEIN-KINASE-RXN_xrefs_PROTEIN-KINASE-RXN__	PROTEIN-KINASE-RXN_xrefs	PROTEIN-KINASE-RXN		
PPENTOMUT-RXN_xrefs_PPENTOMUT-RXN__	PPENTOMUT-RXN_xrefs	PPENTOMUT-RXN		
RNA-POLYMERASE-SUBUNIT-KINASE-RXN_xrefs_RNA-POLYMERASE-SUBUNIT-KINASE-RXN__	RNA-POLYMERASE-SUBUNIT-KINASE-RXN_xrefs	RNA-POLYMERASE-SUBUNIT-KINASE-RXN		
PANTEPADENYLYLTRAN-RXN_xrefs_PANTEPADENYLYLTRAN-RXN__	PANTEPADENYLYLTRAN-RXN_xrefs	PANTEPADENYLYLTRAN-RXN		
RXN-5643_xrefs_RXN-5643__	RXN-5643_xrefs	RXN-5643		
3.1.3.56-RXN_xrefs_3.1.3.56-RXN__	3.1.3.56-RXN_xrefs	3.1.3.56-RXN		
RXN-9549_xrefs_RXN-9549__	RXN-9549_xrefs	RXN-9549		
3.1.3.46-RXN_xrefs_3.1.3.46-RXN__	3.1.3.46-RXN_xrefs	3.1.3.46-RXN		
RXN-1223_xrefs_RXN-1223__	RXN-1223_xrefs	RXN-1223		
RXN-5472_xrefs_RXN-5472__	RXN-5472_xrefs	RXN-5472		
R311-RXN_xrefs_R311-RXN__	R311-RXN_xrefs	R311-RXN		
RXN-8244_xrefs_RXN-8244__	RXN-8244_xrefs	RXN-8244		
RXN-9624_xrefs_RXN-9624__	RXN-9624_xrefs	RXN-9624		
RXN-1102_xrefs_RXN-1102__	RXN-1102_xrefs	RXN-1102		
RXN3O-130_xrefs_RXN3O-130__	RXN3O-130_xrefs	RXN3O-130		
ORNITHINE-GLU-AMINOTRANSFERASE-RXN_xrefs_ORNITHINE-GLU-AMINOTRANSFERASE-RXN__	ORNITHINE-GLU-AMINOTRANSFERASE-RXN_xrefs	ORNITHINE-GLU-AMINOTRANSFERASE-RXN		
3.2.1.68-RXN_xrefs_3.2.1.68-RXN__	3.2.1.68-RXN_xrefs	3.2.1.68-RXN		
3.2.1.55-RXN_xrefs_3.2.1.55-RXN__	3.2.1.55-RXN_xrefs	3.2.1.55-RXN		
GLYOXII-RXN_xrefs_GLYOXII-RXN__	GLYOXII-RXN_xrefs	GLYOXII-RXN		
RXN-10464_xrefs_RXN-10464__	RXN-10464_xrefs	RXN-10464		
TYROSINE-AMINOTRANSFERASE-RXN_xrefs_TYROSINE-AMINOTRANSFERASE-RXN__	TYROSINE-AMINOTRANSFERASE-RXN_xrefs	TYROSINE-AMINOTRANSFERASE-RXN		
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN_xrefs_4OHBENZOATE-OCTAPRENYLTRANSFER-RXN__	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN_xrefs	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN		
RXN1F-161_xrefs_RXN1F-161__	RXN1F-161_xrefs	RXN1F-161		
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN_xrefs_DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN__	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN_xrefs	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN		
RXN66-281_xrefs_RXN66-281__	RXN66-281_xrefs	RXN66-281		
KETOLACTOSE-RXN_xrefs_KETOLACTOSE-RXN__	KETOLACTOSE-RXN_xrefs	KETOLACTOSE-RXN		
ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN_xrefs_ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN__	ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN_xrefs	ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN		
RXN-10917_xrefs_RXN-10917__	RXN-10917_xrefs	RXN-10917		
ACETOLACTREDUCTOISOM-RXN_xrefs_ACETOLACTREDUCTOISOM-RXN__	ACETOLACTREDUCTOISOM-RXN_xrefs	ACETOLACTREDUCTOISOM-RXN		
THI-P-KIN-RXN_xrefs_THI-P-KIN-RXN__	THI-P-KIN-RXN_xrefs	THI-P-KIN-RXN		
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN_xrefs_SERINE--PYRUVATE-AMINOTRANSFERASE-RXN__	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN_xrefs	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN		
